24 Feb 2016 15:39:56:728; Execute: findElement(By.name(q)
24 Feb 2016 15:39:56:804; Execute: waitToBeVisible(searchField)
24 Feb 2016 15:39:56:983; Execute: sendKeys(searchField)
24 Feb 2016 15:39:58:681; Execute: sendKeys( searchField)
24 Feb 2016 15:40:00:188; >Success testing method: testHybridApp
24 Feb 2016 15:40:00:190; $$$$ Test ended! $$$$
24 Feb 2016 15:40:00:190; ----------------------------------------------------------------------------
24 Feb 2016 15:43:47:771; ----------------------------------------------------------------------------
24 Feb 2016 15:44:02:827; Test started on localhost.localdomain machine
24 Feb 2016 15:44:02:828; >Start test method: testEBayPage
24 Feb 2016 15:44:06:713; Execute: findElement(By.id(kw)
24 Feb 2016 15:44:09:368; Execute: waitToBeVisible(searchBox)
24 Feb 2016 15:44:09:455; Execute: sendKeys(searchBox)
24 Feb 2016 15:44:10:790; Execute: submit(searchBox)
24 Feb 2016 15:44:14:760; Execute: findElement(By.cssSelector(a.homeicon)
24 Feb 2016 15:44:17:297; Execute: findElements(By.cssSelector(div#itemDiv a)
24 Feb 2016 15:44:17:496; Execute: waitListToBeVisible(numberOfResults)
24 Feb 2016 15:44:17:675; Execute: size(numberOfResults)
24 Feb 2016 15:44:17:686; Execute: click(homeButton)
24 Feb 2016 15:44:20:798; >Success testing method: testEBayPage
24 Feb 2016 15:44:20:800; $$$$ Test ended! $$$$
24 Feb 2016 15:44:20:801; ----------------------------------------------------------------------------
24 Feb 2016 15:51:36:477; ----------------------------------------------------------------------------
24 Feb 2016 15:51:42:763; Test started on localhost.localdomain machine
24 Feb 2016 15:51:42:763; >Start test method: testApplication
24 Feb 2016 15:51:42:773; Execute: findElement(By.name(5)
24 Feb 2016 15:51:45:517; Execute: findElement(By.name(+)
24 Feb 2016 15:51:45:573; Execute: findElement(By.name(4)
24 Feb 2016 15:51:45:658; Execute: findElementByAccessibilityId(equals)
24 Feb 2016 15:51:45:727; Execute: findElement(By.id(com.android.calculator2:id/formula)
24 Feb 2016 15:51:45:762; Execute: waitToBeVisible(five)
24 Feb 2016 15:51:45:832; Execute: click(five)
24 Feb 2016 15:51:46:048; Execute: click(plus)
24 Feb 2016 15:51:46:828; Execute: click(four)
24 Feb 2016 15:51:47:496; Execute: click(Equal)
24 Feb 2016 15:51:48:159; Execute: getText(value)
24 Feb 2016 15:51:49:625; >Success testing method: testApplication
24 Feb 2016 15:51:49:627; $$$$ Test ended! $$$$
24 Feb 2016 15:51:49:628; ----------------------------------------------------------------------------
24 Feb 2016 15:52:24:785; ----------------------------------------------------------------------------
